停車票號,入場時間,出場時間,發票號碼,收費金額
2020111423330108,2020/11/14 23:33:00,2020/11/14 23:58:20,,10
2020111507530111,2020/11/15 07:53:00,2020/11/15 08:30:21,56937499,20
2020111509150116,2020/11/15 09:15:00,2020/11/15 10:53:37,,40
2020111508550115,2020/11/15 08:55:00,2020/11/15 12:08:28,,70
2020111512090120,2020/11/15 12:09:00,2020/11/15 13:13:10,56937500,30
2020111513050123,2020/11/15 13:05:00,2020/11/15 13:19:47,,10
2020111508540114,2020/11/15 08:54:00,2020/11/15 14:55:49,,100
2020111513010122,2020/11/15 13:01:00,2020/11/15 14:56:37,,40
2020111513210125,2020/11/15 13:21:00,2020/11/15 15:09:22,56937501,40
2020111423300107,2020/11/14 23:30:00,2020/11/15 16:14:10,,110
2020111515180128,2020/11/15 15:18:00,2020/11/15 17:10:02,56937502,40
2020111503390109,2020/11/15 03:39:00,2020/11/15 17:40:31,,100
2020111508420113,2020/11/15 08:42:00,2020/11/15 17:46:21,56937503,100
2020111512090121,2020/11/15 12:09:00,2020/11/15 19:29:37,56937504,100
2020111515030126,2020/11/15 15:03:00,2020/11/15 20:01:01,56937505,100
2020111516190129,2020/11/15 16:19:00,2020/11/15 20:04:00,56937506,80
2020111518330130,2020/11/15 18:33:00,2020/11/15 20:12:26,56937507,40
2020111508250112,2020/11/15 08:25:00,2020/11/15 20:32:29,56937508,100
2020111519310131,2020/11/15 19:31:00,2020/11/15 20:41:28,,30
2020111511320118,2020/11/15 11:32:00,2020/11/15 20:43:39,,100
2020111509290117,2020/11/15 09:29:00,2020/11/15 22:36:20,56937509,100
2020111600320135,2020/11/16 00:32:00,2020/11/16 06:24:03,56937510,60
2020111515100127,2020/11/15 15:10:00,2020/11/16 08:07:14,,160
2020111511340119,2020/11/15 11:34:00,2020/11/16 09:41:53,56937511,160
2020111421520106,2020/11/14 21:52:00,2020/11/16 10:00:03,56937512,210
2020111608050141,2020/11/16 08:05:00,2020/11/16 10:22:51,56937513,50
