停車票號,入場時間,出場時間,發票號碼,收費金額
2020111009572753,2020/11/10 09:57:00,2020/11/10 18:26:19,56945903,60
2020111011592755,2020/11/10 11:59:00,2020/11/10 18:28:06,56945904,60
2020111007502744,2020/11/10 07:50:00,2020/11/10 18:57:51,56945905,60
2020111018282762,2020/11/10 18:28:00,2020/11/10 19:54:43,,30
2020111007332743,2020/11/10 07:33:00,2020/11/10 19:58:56,56945906,60
2020111018152761,2020/11/10 18:15:00,2020/11/10 20:10:05,56945907,40
2020111017342759,2020/11/10 17:34:00,2020/11/10 20:25:09,,60
2020111017512760,2020/11/10 17:51:00,2020/11/10 21:31:15,56945908,60
2020111108382774,2020/11/11 08:38:00,2020/11/11 10:17:57,,40
2020111107122764,2020/11/11 07:12:00,2020/11/11 12:40:28,,60
2020111108462775,2020/11/11 08:46:00,2020/11/11 13:38:28,56945909,60
2020111108042769,2020/11/11 08:04:00,2020/11/11 14:09:00,,60
2020111108052770,2020/11/11 08:05:00,2020/11/11 14:26:14,56945910,60
2020111108302772,2020/11/11 08:30:00,2020/11/11 14:47:55,56945911,60
2020111112452777,2020/11/11 12:45:00,2020/11/11 15:04:00,,50
2020111108222771,2020/11/11 08:22:00,2020/11/11 15:29:53,,60
2020111104062763,2020/11/11 04:06:00,2020/11/11 16:36:45,,60
2020111108352773,2020/11/11 08:35:00,2020/11/11 17:06:00,56945912,60
2020111112132776,2020/11/11 12:13:00,2020/11/11 17:28:14,56945913,60
2020111107562766,2020/11/11 07:56:00,2020/11/11 17:36:53,56945914,60
2020111107592767,2020/11/11 07:59:00,2020/11/11 18:01:18,56945915,60
2020111117542779,2020/11/11 17:54:00,2020/11/11 19:02:20,,30
2020111107282765,2020/11/11 07:28:00,2020/11/11 19:22:51,56945916,60
2020111108002768,2020/11/11 08:00:00,2020/11/11 19:24:49,56945917,60
2020111118342780,2020/11/11 18:34:00,2020/11/11 19:59:03,,30
2020111119532781,2020/11/11 19:53:00,2020/11/11 20:29:51,56945918,20
2020111114022778,2020/11/11 14:02:00,2020/11/11 21:07:15,,60
2020111122092783,2020/11/11 22:09:00,2020/11/12 08:06:23,56945919,100
2020111120272782,2020/11/11 20:27:00,2020/11/12 08:16:27,,120
2020111203442784,2020/11/12 03:44:00,2020/11/12 08:39:02,,60
2020111207582789,2020/11/12 07:58:00,2020/11/12 12:36:24,56945920,60
2020111208342791,2020/11/12 08:34:00,2020/11/12 14:21:10,56945921,60
2020111208582793,2020/11/12 08:58:00,2020/11/12 14:24:05,,60
2020111213362795,2020/11/12 13:36:00,2020/11/12 15:02:51,,30
2020111206122785,2020/11/12 06:12:00,2020/11/12 16:34:08,,60
2020111217152798,2020/11/12 17:15:00,2020/11/12 17:24:16,,20
2020111207562788,2020/11/12 07:56:00,2020/11/12 17:38:30,56945922,60
2020111216302796,2020/11/12 16:30:00,2020/11/12 18:08:59,56945923,40
2020111207282786,2020/11/12 07:28:00,2020/11/12 18:23:45,56945924,60
2020111208412792,2020/11/12 08:41:00,2020/11/12 19:11:38,56945925,60
2020111217372799,2020/11/12 17:37:00,2020/11/12 19:39:53,,50
2020111208322790,2020/11/12 08:32:00,2020/11/12 20:01:27,56945926,60
2020111218412802,2020/11/12 18:41:00,2020/11/12 20:08:38,56945927,30
2020111219152805,2020/11/12 19:15:00,2020/11/12 20:24:21,,30
2020111218312800,2020/11/12 18:31:00,2020/11/12 20:25:12,56945928,40
2020111218342801,2020/11/12 18:34:00,2020/11/12 20:25:49,56945929,40
2020111218532804,2020/11/12 18:53:00,2020/11/12 20:57:03,56945930,50
2020111220052806,2020/11/12 20:05:00,2020/11/12 21:03:44,,20
2020111011112754,2020/11/10 11:11:00,2020/11/12 21:08:59,,180
2020111207462787,2020/11/12 07:46:00,2020/11/12 21:14:37,56945931,60
2020111218462803,2020/11/12 18:46:00,2020/11/12 21:24:09,56945932,60
2020111217012797,2020/11/12 17:01:00,2020/11/12 23:44:19,,60
2020111212302794,2020/11/12 12:30:00,2020/11/13 03:00:17,,120
2020111300252809,2020/11/13 00:25:00,2020/11/13 03:10:50,56945933,60
