停車票號,入場時間,出場時間,發票號碼,收費金額
2021020515303656,2021/02/05 15:30:00,2021/02/05 18:08:29,未開發票,90
2021020510523647,2021/02/05 10:52:00,2021/02/05 18:26:17,56697250,150
2021020515053654,2021/02/05 15:05:00,2021/02/05 18:30:46,56697251,105
2021020508083637,2021/02/05 08:08:00,2021/02/05 19:12:37,56697252,150
2021020521163661,2021/02/05 21:16:00,2021/02/05 22:05:51,56697253,30
2021020508193639,2021/02/05 08:19:00,2021/02/05 22:17:46,未開發票,150
2021020519183660,2021/02/05 19:18:00,2021/02/05 22:31:27,未開發票,105
2021020519143659,2021/02/05 19:14:00,2021/02/05 22:33:18,未開發票,105
2021020523283662,2021/02/05 23:28:00,2021/02/06 01:18:45,56697254,60
2021020607203666,2021/02/06 07:20:00,2021/02/06 08:46:04,56697255,45
2021020523513663,2021/02/05 23:51:00,2021/02/06 09:02:24,56697256,165
2021020610433671,2021/02/06 10:43:00,2021/02/06 11:11:43,未開發票,15
2021020611013672,2021/02/06 11:01:00,2021/02/06 11:39:38,未開發票,30
2021020606403665,2021/02/06 06:40:00,2021/02/06 11:50:31,未開發票,150
2021020611353673,2021/02/06 11:35:00,2021/02/06 12:11:06,未開發票,30
2021020609173670,2021/02/06 09:17:00,2021/02/06 12:22:08,未開發票,105
2021020612143674,2021/02/06 12:14:00,2021/02/06 12:33:15,未開發票,15
2021020613363679,2021/02/06 13:36:00,2021/02/06 13:56:01,56697257,15
2021020517323658,2021/02/05 17:32:00,2021/02/06 14:08:37,56697258,300
2021020614033681,2021/02/06 14:03:00,2021/02/06 14:14:53,未開發票,15
2021020614213684,2021/02/06 14:21:00,2021/02/06 14:52:17,56697259,30
2021020615103685,2021/02/06 15:10:00,2021/02/06 15:19:41,56697260,15
2021020614063682,2021/02/06 14:06:00,2021/02/06 15:23:11,56697261,45
2021020614103683,2021/02/06 14:10:00,2021/02/06 15:24:09,56697262,45
2021020614013680,2021/02/06 14:01:00,2021/02/06 16:16:20,56697263,75
2021020613333678,2021/02/06 13:33:00,2021/02/06 16:32:01,未開發票,90
2021020613233677,2021/02/06 13:23:00,2021/02/06 16:33:34,未開發票,105
2021020607283667,2021/02/06 07:28:00,2021/02/06 17:03:31,56697264,150
2021020608283669,2021/02/06 08:28:00,2021/02/06 17:09:36,未開發票,150
2021020616433686,2021/02/06 16:43:00,2021/02/06 17:12:32,56697265,15
2021020612573676,2021/02/06 12:57:00,2021/02/06 17:20:47,未開發票,135
2021020607553668,2021/02/06 07:55:00,2021/02/06 19:04:18,56697266,150
2021020600073664,2021/02/06 00:07:00,2021/02/06 20:48:18,未開發票,150
2021020618433687,2021/02/06 18:43:00,2021/02/06 20:55:43,未開發票,75
2021020612413675,2021/02/06 12:41:00,2021/02/06 21:21:08,未開發票,150
2021013101053463,2021/01/31 01:05:00,2021/02/06 23:56:57,56697267,1050
2021020711473693,2021/02/07 11:47:00,2021/02/07 12:50:51,未開發票,45
2021020711443692,2021/02/07 11:44:00,2021/02/07 14:05:39,未開發票,75
2021020713113696,2021/02/07 13:11:00,2021/02/07 14:11:42,未開發票,30
2021020713293697,2021/02/07 13:29:00,2021/02/07 14:39:22,未開發票,45
2021020713463698,2021/02/07 13:46:00,2021/02/07 14:41:35,未開發票,30
2021020712083695,2021/02/07 12:08:00,2021/02/07 16:17:26,未開發票,135
2021020707513691,2021/02/07 07:51:00,2021/02/07 16:46:02,56697268,150
2021020707383690,2021/02/07 07:38:00,2021/02/07 16:53:52,56697269,150
2021020716413701,2021/02/07 16:41:00,2021/02/07 17:06:39,56697270,15
2021020715593699,2021/02/07 15:59:00,2021/02/07 17:45:40,未開發票,60
2021020707013689,2021/02/07 07:01:00,2021/02/07 17:54:39,未開發票,150
2021020716323700,2021/02/07 16:32:00,2021/02/07 18:07:33,未開發票,60
2021020720283706,2021/02/07 20:28:00,2021/02/07 21:48:10,未開發票,45
2021020718193705,2021/02/07 18:19:00,2021/02/07 22:04:33,未開發票,120
2021020717573704,2021/02/07 17:57:00,2021/02/07 22:06:01,未開發票,135
2021020717113703,2021/02/07 17:11:00,2021/02/07 22:30:52,56697271,150
2021020717093702,2021/02/07 17:09:00,2021/02/08 05:22:52,未開發票,300
2021020806183708,2021/02/08 06:18:00,2021/02/08 06:34:23,未開發票,15
2021020808153717,2021/02/08 08:15:00,2021/02/08 08:57:05,未開發票,30
2021020808323720,2021/02/08 08:32:00,2021/02/08 10:31:52,56697272,60
2021020810123725,2021/02/08 10:12:00,2021/02/08 10:52:35,56697273,30
2021020712003694,2021/02/07 12:00:00,2021/02/08 11:09:51,56697274,300
2021020808163718,2021/02/08 08:16:00,2021/02/08 12:27:47,56697275,135
2021020807203711,2021/02/08 07:20:00,2021/02/08 12:57:39,56697276,150
2021020812143726,2021/02/08 12:14:00,2021/02/08 13:04:22,56697277,30
2021020808483721,2021/02/08 08:48:00,2021/02/08 13:58:25,56697278,150
2021020808513722,2021/02/08 08:51:00,2021/02/08 14:25:13,56697279,150
2021020814003727,2021/02/08 14:00:00,2021/02/08 14:51:06,未開發票,30
2021020814593728,2021/02/08 14:59:00,2021/02/08 15:32:20,未開發票,30
2021020809543724,2021/02/08 09:54:00,2021/02/08 15:47:49,56697280,150
2021020807403713,2021/02/08 07:40:00,2021/02/08 16:32:13,56697281,150
2021020807263712,2021/02/08 07:26:00,2021/02/08 16:35:21,56697282,150
2021020807183709,2021/02/08 07:18:00,2021/02/08 16:50:38,未開發票,150
2021020807453714,2021/02/08 07:45:00,2021/02/08 17:12:11,56697283,150
2021020809133723,2021/02/08 09:13:00,2021/02/08 17:17:03,56697284,150
2021020807193710,2021/02/08 07:19:00,2021/02/08 17:19:53,56697285,150
2021020808203719,2021/02/08 08:20:00,2021/02/08 18:05:43,未開發票,150
2021020817033729,2021/02/08 17:03:00,2021/02/08 18:07:17,未開發票,45
2021020807593715,2021/02/08 07:59:00,2021/02/08 18:56:04,56697286,150
2021020808013716,2021/02/08 08:01:00,2021/02/08 20:29:54,56697287,150
